Away,Home,Away_Score,Home Score,Date
Georgia State,Troy,19,31,2025-11-22
Coastal Carolina,South Carolina,7,51,2025-11-22
Furman,Clemson,10,45,2025-11-22
UL Monroe,Texas State,14,31,2025-11-22
Nebraska,Penn State,10,37,2025-11-22
New Mexico,Air Force,20,3,2025-11-22
Colorado State,Boise State,21,49,2025-11-22
California,Stanford,10,31,2025-11-22
North Texas,Rice,56,24,2025-11-22
Western Kentucky,LSU,10,13,2025-11-22
Washington,UCLA,48,14,2025-11-22
Utah State,Fresno State,28,17,2025-11-22
San José State,San Diego State,3,25,2025-11-22
Bowling Green,Massachusetts,45,14,2025-11-25
Western Michigan,Eastern Michigan,31,21,2025-11-25
Navy,Memphis,28,17,2025-11-27
Indiana,Purdue,56,3,2025-11-28
Texas A&M,Texas,17,27,2025-11-28
Georgia,Georgia Tech,16,9,2025-11-28
Ole Miss,Mississippi State,38,19,2025-11-28
Utah,Kansas,31,21,2025-11-28
Arizona,Arizona State,23,7,2025-11-28
Iowa,Nebraska,40,16,2025-11-28
Ohio,Buffalo,31,26,2025-11-28
Kent State,Northern Illinois,35,31,2025-11-28
Air Force,Colorado State,42,21,2025-11-28
San Diego State,New Mexico,17,23,2025-11-28
Temple,North Texas,25,52,2025-11-28
Boise State,Utah State,25,24,2025-11-28
Ohio State,Michigan,27,9,2025-11-29
Texas Tech,West Virginia,49,0,2025-11-29
Oregon,Washington,26,14,2025-11-29
LSU,Oklahoma,13,17,2025-11-29
Notre Dame,Stanford,49,20,2025-11-29
Alabama,Auburn,27,20,2025-11-29
UCF,BYU,21,41,2025-11-29
Miami,Pittsburgh,38,7,2025-11-29
Vanderbilt,Tennessee,45,24,2025-11-29
UCLA,USC,10,29,2025-11-29
Virginia Tech,Virginia,7,27,2025-11-29
SMU,California,35,38,2025-11-29
Charlotte,Tulane,0,27,2025-11-29
Kentucky,Louisville,0,41,2025-11-29
Clemson,South Carolina,28,14,2025-11-29
Houston,Baylor,31,24,2025-11-29
Colorado,Kansas State,14,24,2025-11-29
Iowa State,Oklahoma State,20,13,2025-11-29
East Carolina,Florida Atlantic,42,3,2025-11-29
Toledo,Central Michigan,21,3,2025-11-29
Ball State,Miami (OH),24,45,2025-11-29
UTEP,Delaware,31,61,2025-11-29
Florida International,Sam Houston,56,16,2025-11-29
Georgia Southern,Marshall,24,19,2025-11-29
Western Kentucky,Jacksonville State,34,37,2025-11-29
Louisiana Tech,Missouri State,42,30,2025-11-29
Georgia State,Old Dominion,10,27,2025-11-29
Arkansas State,App State,30,29,2025-11-29
Boston College,Syracuse,34,12,2025-11-29
Middle Tennessee,New Mexico State,31,24,2025-11-29
UL Monroe,Louisiana,27,30,2025-11-29
South Alabama,Texas State,26,49,2025-11-29
UAB,Tulsa,31,24,2025-11-29
Missouri,Arkansas,31,17,2025-11-29
Wisconsin,Minnesota,7,17,2025-11-29
Penn State,Rutgers,40,36,2025-11-29
Wake Forest,Duke,32,49,2025-11-29
Cincinnati,TCU,23,45,2025-11-29
Kennesaw State,Liberty,48,42,2025-11-29
Troy,Southern Miss,28,18,2025-11-29
Army,UTSA,27,24,2025-11-29
James Madison,Coastal Carolina,59,10,2025-11-29
Florida State,Florida,21,40,2025-11-29
Oregon State,Washington State,8,32,2025-11-29
Maryland,Michigan State,28,38,2025-11-29
Rice,South Florida,3,52,2025-11-29
Northwestern,Illinois,13,20,2025-11-29
North Carolina,NC State,19,42,2025-11-29
UNLV,Nevada,42,17,2025-11-29
Fresno State,San José State,41,14,2025-11-29
Wyoming,Hawai'i,7,27,2025-11-29
North Texas,Tulane,21,34,2025-12-05
Troy,James Madison,14,31,2025-12-05
Kennesaw State,Jacksonville State,19,15,2025-12-05
UNLV,Boise State,21,38,2025-12-05
Indiana,Ohio State,13,10,2025-12-06
Georgia,Alabama,28,7,2025-12-06
BYU,Texas Tech,7,34,2025-12-06
Duke,Virginia,27,20,2025-12-06
Miami (OH),Western Michigan,13,23,2025-12-06
Incarnate Word,Nicholls,6,20,2025-08-23
Idaho State,UNLV,31,38,2025-08-23
Tarleton State,Portland State,42,0,2025-08-23
North Carolina Central,Southern,31,14,2025-08-23
UC Davis,Mercer,,,2025-08-23
Lafayette,Bowling Green,7,26,2025-08-28
McKendree,Indiana State,24,41,2025-08-28
Mercyhurst,Youngstown State,15,24,2025-08-28
Delaware State,Delaware,17,35,2025-08-28
Saint Francis,UL Monroe,0,29,2025-08-28
Dayton,Eastern Illinois,14,24,2025-08-28
Lindenwood,St. Thomas-Minnesota,13,35,2025-08-28
Towson,Norfolk State,27,7,2025-08-28
Central Arkansas,Missouri,6,61,2025-08-28
Elon,Duke,17,45,2025-08-28
UT Martin,Oklahoma State,7,27,2025-08-28
West Georgia,Samford,34,3,2025-08-28
Arkansas Baptist,Houston Christian,0,69,2025-08-28
Upper Iowa,Drake,7,41,2025-08-28
Stephen F. Austin,Houston,0,27,2025-08-28
Alcorn State,Northwestern State,10,20,2025-08-28
Alabama State,UAB,42,52,2025-08-28
Stony Brook,San Diego State,0,42,2025-08-28
Western Illinois,Illinois,3,52,2025-08-29
Tarleton State,Army,30,27,2025-08-29
Campbell,Rhode Island,20,31,2025-08-29
Monmouth,Colgate,42,39,2025-08-29
New Haven,Marist,14,31,2025-08-29
Wagner,Kansas,7,46,2025-08-29
Bethune-Cookman,Florida International,9,42,2025-08-29
Montana State,Oregon,13,59,2025-08-30
Northern Arizona,Arizona State,19,38,2025-08-30
Long Island University,Florida,0,55,2025-08-30
East Texas A&M,SMU,13,42,2025-08-30
North Dakota,Kansas State,35,38,2025-08-30
Illinois State,Oklahoma,3,35,2025-08-30
South Dakota,Iowa State,7,55,2025-08-30
Arkansas-Pine Bluff,Texas Tech,7,67,2025-08-30
Duquesne,Pittsburgh,9,61,2025-08-30
VMI,Navy,7,52,2025-08-30
Merrimack,Kent State,17,21,2025-08-30
North Dakota State,The Citadel,38,0,2025-08-30
Richmond,Lehigh,14,21,2025-08-30
Cumberland (TN),Tennessee Tech,0,65,2025-08-30
Georgetown,Davidson,51,14,2025-08-30
Fordham,Boston College,10,66,2025-08-30
Robert Morris,West Virginia,3,45,2025-08-30
Central Connecticut,UConn,13,59,2025-08-30
William & Mary,Furman,21,23,2025-08-30
Butler,Northern Iowa,14,38,2025-08-30
Virginia Lynchburg,Valparaiso,10,67,2025-08-30
Stonehill,Sacred Heart,7,12,2025-08-30
Eastern Kentucky,Louisville,17,51,2025-08-30
Chadron State,Northern Colorado,3,17,2025-08-30
Hampton,Jackson State,14,28,2025-08-30
Bucknell,Air Force,13,49,2025-08-30
Holy Cross,Northern Illinois,17,19,2025-08-30
Maine,Liberty,7,28,2025-08-30
Howard,Florida A&M,10,9,2025-08-30
Alabama A&M,Arkansas,7,52,2025-08-30
Chattanooga,Memphis,10,45,2025-08-30
North Carolina A&T,Tennessee State,21,24,2025-08-30
Southern,Mississippi Valley State,34,29,2025-08-30
Murray State,East Tennessee State,17,45,2025-08-30
UAlbany,Iowa,7,34,2025-08-30
Weber State,James Madison,10,45,2025-08-30
Gardner-Webb,Western Carolina,52,45,2025-08-30
New Hampshire,North Carolina Central,27,10,2025-08-30
Wofford,South Carolina State,15,16,2025-08-30
Presbyterian,Mercer,15,10,2025-08-30
Allen,Morehead State,31,38,2025-08-30
Charleston Southern,Vanderbilt,3,45,2025-08-30
Austin Peay,Middle Tennessee,34,14,2025-08-30
North Alabama,Western Kentucky,6,55,2025-08-30
Southeast Missouri State,Arkansas State,24,42,2025-08-30
Morgan State,South Alabama,21,38,2025-08-30
Nicholls,Troy,20,38,2025-08-30
Eastern Washington,Incarnate Word,21,31,2025-08-30
Sacramento State,South Dakota State,3,20,2025-08-30
Louisiana Christian University,McNeese,9,54,2025-08-30
Thomas More College,Southern Illinois,3,49,2025-08-30
SE Louisiana,Louisiana Tech,0,24,2025-08-30
Webber International,Stetson,31,21,2025-08-30
Portland State,BYU,0,69,2025-08-30
Lamar,North Texas,0,51,2025-08-30
Abilene Christian,Tulsa,7,35,2025-08-30
Cal Poly,San Diego,41,17,2025-08-30
Sul Ross State,UT Rio Grande Valley,0,66,2025-08-30
Langston,Grambling,7,55,2025-08-30
Idaho State,Southern Utah,24,46,2025-08-30
Bryant,New Mexico State,3,19,2025-08-30
Prairie View A&M,Texas Southern,22,21,2025-08-30
Idaho,Washington State,10,13,2025-08-30
UC Davis,Utah Tech,31,24,2025-08-30
Western Illinois,Northwestern,7,42,2025-09-05
Eastern Washington,Boise State,14,51,2025-09-05
Grambling,Ohio State,0,70,2025-09-06
Austin Peay,Georgia,6,28,2025-09-06
Bethune-Cookman,Miami,3,45,2025-09-06
South Carolina State,South Carolina,10,38,2025-09-06
East Texas A&M,Florida State,3,77,2025-09-06
East Tennessee State,Tennessee,17,72,2025-09-06
Cal Poly,Utah,9,63,2025-09-06
Northwestern State,Minnesota,0,66,2025-09-06
Thomas More College,Dayton,0,38,2025-09-06
Sacred Heart,Lehigh,10,28,2025-09-06
American International,Central Connecticut,7,34,2025-09-06
Lincoln (PA),Duquesne,14,55,2025-09-06
New Haven,Mercyhurst,14,48,2025-09-06
Eastern Illinois,Indiana State,14,38,2025-09-06
Chattanooga,Tennessee Tech,17,45,2025-09-06
UAlbany,Delaware State,32,37,2025-09-06
Bucknell,Marist,34,23,2025-09-06
Wagner,Georgetown,20,31,2025-09-06
Lafayette,Stonehill,42,26,2025-09-06
St. Anselm,Merrimack,6,31,2025-09-06
Truman State,Butler,27,37,2025-09-06
Ferrum,VMI,7,42,2025-09-06
Howard,Temple,7,55,2025-09-06
Robert Morris,Youngstown State,17,56,2025-09-06
Presbyterian,Furman,39,38,2025-09-06
North Dakota State,Tennessee State,59,3,2025-09-06
Idaho State,New Mexico,22,32,2025-09-06
Gardner-Webb,Georgia Tech,12,59,2025-09-06
Lindenwood,App State,13,20,2025-09-06
Saint Francis,Buffalo,6,45,2025-09-06
The Citadel,Samford,40,13,2025-09-06
Northern Iowa,Wyoming,7,31,2025-09-06
St. Thomas-Minnesota,Idaho,30,37,2025-09-06
Western Carolina,Wake Forest,10,42,2025-09-06
Sacramento State,Nevada,17,20,2025-09-06
Jackson State,Southern Miss,20,38,2025-09-06
Utah Tech,Northern Arizona,31,38,2025-09-06
Bryant,Massachusetts,27,26,2025-09-06
Texas Southern,California,3,35,2025-09-06
North Carolina Central,Old Dominion,6,54,2025-09-06
Campbell,East Carolina,3,56,2025-09-06
Florida A&M,Florida Atlantic,14,56,2025-09-06
Elizabeth City State,Hampton,20,27,2025-09-06
Maine,William & Mary,27,28,2025-09-06
Monmouth,Fordham,49,28,2025-09-06
Houston Christian,Eastern Kentucky,10,20,2025-09-06
Colgate,Villanova,17,24,2025-09-06
Virginia State,Norfolk State,31,34,2025-09-06
Richmond,Wofford,14,10,2025-09-06
Warner,Stetson,13,59,2025-09-06
North Carolina A&T,UCF,7,68,2025-09-06
Northern Colorado,Colorado State,17,21,2025-09-06
Long Island University,Eastern Michigan,28,23,2025-09-06
Portland State,North Dakota,20,50,2025-09-06
North Alabama,Southeast Missouri State,21,30,2025-09-06
Holy Cross,New Hampshire,16,19,2025-09-06
Mississippi Valley State,Tarleton State,3,59,2025-09-06
Alcorn State,Alabama A&M,31,41,2025-09-06
Towson,Morgan State,27,22,2025-09-06
Alabama State,Southern,30,7,2025-09-06
Arkansas-Pine Bluff,Central Arkansas,17,41,2025-09-06
Morehead State,Illinois State,13,41,2025-09-06
SE Louisiana,Murray State,45,24,2025-09-06
South Dakota,Lamar,13,20,2025-09-06
Adrian,Valparaiso,10,7,2025-09-06
West Georgia,Nicholls,34,10,2025-09-06
Southern Illinois,Purdue,17,34,2025-09-06
Charleston Southern,Coastal Carolina,0,13,2025-09-06
Rhode Island,Stony Brook,31,17,2025-09-06
UT Rio Grande Valley,Prairie View A&M,27,21,2025-09-06
McNeese,Louisiana,10,34,2025-09-06
Central Washington,Montana,17,42,2025-09-06
South Dakota State,Montana State,30,24,2025-09-06
Davidson,Elon,7,55,2025-09-06
Stephen F. Austin,Abilene Christian,20,28,2025-09-06
UT Martin,UTEP,17,42,2025-09-06
Southern Utah,San Diego,27,30,2025-09-06
Weber State,Arizona,3,48,2025-09-06
UC Davis,Washington,10,70,2025-09-06
Indiana State,Indiana,0,73,2025-09-12
Colgate,Syracuse,24,66,2025-09-12
Villanova,Penn State,6,52,2025-09-13
Houston Christian,Nebraska,7,59,2025-09-13
Towson,Maryland,17,44,2025-09-13
William & Mary,Virginia,16,55,2025-09-13
Samford,Baylor,7,42,2025-09-13
Sacred Heart,Long Island University,24,21,2025-09-13
Lehigh,Duquesne,35,21,2025-09-13
Saint Francis,Central Connecticut,7,31,2025-09-13
Davidson,Tennessee Tech,14,72,2025-09-13
Howard,Morehouse College,38,10,2025-09-13
Marist,Wagner,21,10,2025-09-13
St. Thomas-Minnesota,Northern Michigan,20,7,2025-09-13
Lafayette,Georgetown,42,37,2025-09-13
Butler,Hanover,16,7,2025-09-13
New Hampshire,Ball State,29,34,2025-09-13
Northern Colorado,South Dakota,17,24,2025-09-13
Rhode Island,Holy Cross,9,7,2025-09-13
Elon,Western Carolina,37,31,2025-09-13
North Dakota,Montana,23,24,2025-09-13
San Diego,Montana State,7,41,2025-09-13
Illinois State,Eastern Illinois,42,30,2025-09-13
Bowie State,Delaware State,14,36,2025-09-13
Tuskegee,Jackson State,0,30,2025-09-13
Norfolk State,Rutgers,10,60,2025-09-13
Youngstown State,Michigan State,24,41,2025-09-13
Richmond,North Carolina,6,41,2025-09-13
Northwestern State,Cincinnati,0,70,2025-09-13
Incarnate Word,UTSA,20,48,2025-09-13
Morgan State,Toledo,0,60,2025-09-13
Furman,Campbell,28,24,2025-09-13
Southeast Missouri State,North Dakota State,14,41,2025-09-13
Fordham,Stony Brook,18,41,2025-09-13
VMI,Bucknell,28,35,2025-09-13
Utah Tech,Idaho,6,20,2025-09-13
Lindenwood,Charleston Southern,35,28,2025-09-13
Alabama A&M,Tennessee State,23,21,2025-09-13
Eastern Washington,Northern Iowa,14,17,2025-09-13
Miles College,Alabama State,9,37,2025-09-13
Alcorn State,Mississippi State,0,63,2025-09-13
Merrimack,Kennesaw State,13,27,2025-09-13
Eastern Kentucky,Marshall,7,38,2025-09-13
Monmouth,Charlotte,35,42,2025-09-13
Bentley,Bryant,6,42,2025-09-13
Stonehill,Maine,13,10,2025-09-13
East Tennessee State,West Georgia,31,35,2025-09-13
Lincoln (CA),Arkansas-Pine Bluff,8,34,2025-09-13
Bethune-Cookman,South Carolina State,41,55,2025-09-13
Fayetteville State,North Carolina Central,19,49,2025-09-13
Stetson,Chattanooga,0,63,2025-09-13
Wofford,Mercer,21,22,2025-09-13
West Liberty,Robert Morris,14,28,2025-09-13
Murray State,Georgia State,21,37,2025-09-13
Prairie View A&M,Rice,17,38,2025-09-13
Weber State,McNeese,42,41,2025-09-13
Hampton,North Carolina A&T,30,33,2025-09-13
The Citadel,Gardner-Webb,13,23,2025-09-13
Southern Illinois,UT Martin,37,10,2025-09-13
Valparaiso,Western Illinois,30,51,2025-09-13
Morehead State,Austin Peay,7,56,2025-09-13
Northeastern State,North Alabama,21,49,2025-09-13
Tarleton State,Central Arkansas,56,10,2025-09-13
Kentucky State,Grambling,31,37,2025-09-13
Mississippi Valley State,SE Louisiana,3,56,2025-09-13
Lamar,Texas Southern,31,7,2025-09-13
Drake,South Dakota State,21,37,2025-09-13
Erskine,Presbyterian,14,42,2025-09-13
Albany State,Florida A&M,25,33,2025-09-13
New Haven,UAlbany,24,17,2025-09-13
Abilene Christian,TCU,21,42,2025-09-13
Western Oregon,Cal Poly,7,56,2025-09-13
Sul Ross State,Stephen F. Austin,0,63,2025-09-13
Langston,UT Rio Grande Valley,0,80,2025-09-13
Northern Arizona,Southern Utah,52,49,2025-09-13
Mercyhurst,Sacramento State,28,49,2025-09-13
Southern,Fresno State,7,56,2025-09-13
Portland State,Hawai'i,3,23,2025-09-13
Columbia,Lafayette,14,38,2025-09-19
SE Louisiana,LSU,10,56,2025-09-20
Wofford,Virginia Tech,6,38,2025-09-20
South Carolina State,South Florida,14,63,2025-09-20
Georgetown,Brown,0,46,2025-09-20
San Diego,Princeton,42,35,2025-09-20
Holy Cross,Yale,10,28,2025-09-20
Central State (OH),Morgan State,0,27,2025-09-20
Wagner,Central Michigan,10,49,2025-09-20
Villanova,Monmouth,33,51,2025-09-20
New Hampshire,Dartmouth,20,27,2025-09-20
North Alabama,Illinois State,36,38,2025-09-20
Delaware State,Saint Francis,39,10,2025-09-20
Bluefield University,Presbyterian,3,76,2025-09-20
Harvard,Stetson,59,7,2025-09-20
Fordham,Colgate,21,44,2025-09-20
Pennsylvania,Stonehill,24,21,2025-09-20
Saginaw Valley State,New Haven,28,35,2025-09-20
Drake,South Dakota,21,42,2025-09-20
Mercer,The Citadel,38,0,2025-09-20
VMI,Richmond,14,38,2025-09-20
Dayton,Robert Morris,17,14,2025-09-20
Indiana State,Montana,20,63,2025-09-20
Mercyhurst,Montana State,0,17,2025-09-20
Edward Waters,Bethune-Cookman,9,35,2025-09-20
Gardner-Webb,Ohio,35,52,2025-09-20
Hampton,Howard,7,34,2025-09-20
North Carolina Central,North Carolina A&T,62,20,2025-09-20
Sacred Heart,Norfolk State,31,28,2025-09-20
Valparaiso,North Dakota,7,58,2025-09-20
Idaho,San José State,28,31,2025-09-20
Incarnate Word,Northern Arizona,23,31,2025-09-20
Charleston Southern,William & Mary,7,34,2025-09-20
Samford,Western Carolina,35,50,2025-09-20
Duquesne,Akron,7,51,2025-09-20
Bryant,Campbell,48,50,2025-09-20
Lincoln (CA),Idaho State,0,90,2025-09-20
Eastern Kentucky,West Georgia,12,33,2025-09-20
Long Island University,Rhode Island,7,28,2025-09-20
Youngstown State,Towson,31,28,2025-09-20
Kentucky Christian,Morehead State,28,45,2025-09-20
Lehigh,Bucknell,41,24,2025-09-20
Central Connecticut,Merrimack,14,16,2025-09-20
Murray State,Jacksonville State,10,45,2025-09-20
UT Martin,Missouri State,10,42,2025-09-20
Maine,Georgia Southern,17,45,2025-09-20
Western Illinois,Eastern Washington,31,52,2025-09-20
Northern Colorado,Houston Christian,26,23,2025-09-20
Stony Brook,Lindenwood,27,30,2025-09-20
Southern Illinois,Southeast Missouri State,59,31,2025-09-20
Chattanooga,Tarleton State,24,52,2025-09-20
Lane,Alabama A&M,7,49,2025-09-20
Cornell,UAlbany,10,13,2025-09-20
East Texas A&M,Grambling,28,31,2025-09-20
Northwestern State,Prairie View A&M,24,27,2025-09-20
Greensboro College,Davidson,0,48,2025-09-20
McNeese,Utah State,7,48,2025-09-20
Nicholls,Texas State,3,35,2025-09-20
Cal Poly,Stephen F. Austin,17,35,2025-09-20
Elon,East Tennessee State,16,26,2025-09-20
Austin Peay,Abilene Christian,31,45,2025-09-20
Northern Iowa,Utah Tech,9,20,2025-09-20
Texas Wesleyan,UT Rio Grande Valley,13,61,2025-09-20
Central Arkansas,Sacramento State,16,45,2025-09-20
Butler,Weber State,24,38,2025-09-20
Southern Utah,UC Davis,34,50,2025-09-20
Delaware State,Sacred Heart,31,35,2025-09-27
Norfolk State,Wagner,13,18,2025-09-27
Stetson,Dayton,14,48,2025-09-27
Cornell,Yale,24,41,2025-09-27
Dartmouth,Central Connecticut,35,28,2025-09-27
Georgetown,Columbia,10,19,2025-09-27
Pennsylvania,Lehigh,30,44,2025-09-27
New Haven,Duquesne,18,44,2025-09-27
Towson,Bryant,26,24,2025-09-27
UAlbany,New Hampshire,6,24,2025-09-27
Marist,Butler,28,31,2025-09-27
Morehead State,Presbyterian,0,41,2025-09-27
Holy Cross,Fordham,21,26,2025-09-27
Long Island University,Stonehill,3,10,2025-09-27
Hampton,Elon,20,41,2025-09-27
Utah Tech,Austin Peay,10,42,2025-09-27
Howard,Richmond,12,13,2025-09-27
South Dakota,North Dakota State,13,51,2025-09-27
Idaho State,Northern Colorado,26,18,2025-09-27
Alabama A&M,Bethune-Cookman,34,41,2025-09-27
Alabama State,Florida A&M,42,14,2025-09-27
Miles College,Morgan State,17,24,2025-09-27
Mercyhurst,South Dakota State,7,51,2025-09-27
Lindenwood,Miami (OH),0,38,2025-09-27
Western Carolina,Campbell,42,35,2025-09-27
North Carolina A&T,Maine,30,37,2025-09-27
Merrimack,Stony Brook,10,35,2025-09-27
William & Mary,Villanova,24,31,2025-09-27
Furman,Samford,31,13,2025-09-27
Princeton,Lafayette,38,28,2025-09-27
Eastern Illinois,Western Illinois,31,23,2025-09-27
St. Thomas-Minnesota,San Diego,27,30,2025-09-27
Eastern Washington,Montana State,3,57,2025-09-27
Tennessee Tech,Tennessee State,35,8,2025-09-27
Northern Arizona,Portland State,31,17,2025-09-27
Texas Southern,Mississippi Valley State,23,20,2025-09-27
Mercer,East Tennessee State,38,34,2025-09-27
South Carolina State,Charleston Southern,24,31,2025-09-27
Nicholls,Eastern Kentucky,7,27,2025-09-27
The Citadel,Chattanooga,28,10,2025-09-27
Brown,Harvard,7,41,2025-09-27
Saint Francis,Bucknell,23,30,2025-09-27
Rhode Island,Western Michigan,14,47,2025-09-27
Southeast Missouri State,UT Martin,10,34,2025-09-27
Abilene Christian,Incarnate Word,7,38,2025-09-27
Alcorn State,Arkansas-Pine Bluff,20,24,2025-09-27
North Carolina Central,East Texas A&M,50,42,2025-09-27
Grambling,Prairie View A&M,13,28,2025-09-27
Jackson State,Southern,38,13,2025-09-27
Central Arkansas,Lamar,32,35,2025-09-27
UT Rio Grande Valley,SE Louisiana,31,45,2025-09-27
McNeese,Stephen F. Austin,17,34,2025-09-27
West Georgia,Southern Utah,27,24,2025-09-27
Cal Poly,Sacramento State,32,24,2025-09-27
Weber State,UC Davis,12,34,2025-09-27
Idaho,Montana,30,41,2025-09-27
Rhode Island,Brown,21,28,2025-10-03
Columbia,Princeton,10,17,2025-10-03
San Diego,Marist,14,19,2025-10-04
Sacred Heart,Central Connecticut,35,42,2025-10-04
Richmond,Bucknell,28,33,2025-10-04
Yale,Lehigh,13,31,2025-10-04
Stonehill,Duquesne,14,34,2025-10-04
Fordham,Lafayette,10,24,2025-10-04
Western Illinois,Tennessee Tech,20,66,2025-10-04
Delaware State,Monmouth,38,49,2025-10-04
Villanova,New Hampshire,37,7,2025-10-04
Morgan State,Georgetown,24,27,2025-10-04
Davidson,Stetson,32,35,2025-10-04
Dayton,Morehead State,35,28,2025-10-04
Valparaiso,Drake,0,41,2025-10-04
Dartmouth,Pennsylvania,24,36,2025-10-04
Long Island University,Mercyhurst,13,22,2025-10-04
Robert Morris,Merrimack,7,24,2025-10-04
Pace,New Haven,14,28,2025-10-04
Charleston Southern,Gardner-Webb,27,30,2025-10-04
Savannah State,South Carolina State,6,49,2025-10-04
Chattanooga,VMI,21,14,2025-10-04
Western Carolina,Wofford,23,21,2025-10-04
Campbell,NC State,10,56,2025-10-04
Maine,Bryant,34,14,2025-10-04
UT Martin,Lindenwood,14,30,2025-10-04
East Tennessee State,Furman,22,31,2025-10-04
Butler,St. Thomas-Minnesota,21,14,2025-10-04
Colgate,Cornell,41,21,2025-10-04
Harvard,Holy Cross,59,24,2025-10-04
Tennessee State,Eastern Illinois,7,31,2025-10-04
North Alabama,Abilene Christian,23,52,2025-10-04
Bethune-Cookman,Alabama State,35,52,2025-10-04
Murray State,South Dakota,24,49,2025-10-04
North Carolina A&T,William & Mary,34,38,2025-10-04
Stony Brook,UAlbany,47,12,2025-10-04
Elon,Towson,17,3,2025-10-04
Norfolk State,Hampton,34,41,2025-10-04
West Georgia,Austin Peay,30,44,2025-10-04
Prairie View A&M,Alcorn State,13,12,2025-10-04
Nicholls,Lamar,17,24,2025-10-04
Samford,Mercer,21,45,2025-10-04
Montana State,Northern Arizona,34,10,2025-10-04
Jackson State,Alabama A&M,57,24,2025-10-04
North Dakota,Northern Iowa,35,7,2025-10-04
Utah Tech,Central Arkansas,17,23,2025-10-04
South Dakota State,Youngstown State,35,30,2025-10-04
Portland State,Eastern Washington,27,35,2025-10-04
Southern Utah,Tarleton State,42,52,2025-10-04
Arkansas-Pine Bluff,Texas Southern,7,51,2025-10-04
North Dakota State,Illinois State,33,16,2025-10-04
Indiana State,Southern Illinois,27,55,2025-10-04
East Texas A&M,Northwestern State,40,10,2025-10-04
Stephen F. Austin,Incarnate Word,31,17,2025-10-04
SE Louisiana,McNeese,38,0,2025-10-04
UC Davis,Cal Poly,34,27,2025-10-04
Montana,Idaho State,42,38,2025-10-04
Houston Christian,UT Rio Grande Valley,7,27,2025-10-04
Brown,Bryant,29,19,2025-10-10
Marist,Pennsylvania,9,28,2025-10-10
Cornell,Harvard,10,34,2025-10-10
Southern Connecticut State,Delaware State,23,70,2025-10-11
Mercer,Princeton,38,14,2025-10-11
Lehigh,Columbia,31,7,2025-10-11
Mercyhurst,Wagner,19,7,2025-10-11
Bucknell,Lafayette,24,62,2025-10-11
Maine,Merrimack,20,13,2025-10-11
New Hampshire,Rhode Island,27,38,2025-10-11
South Carolina State,North Carolina A&T,22,16,2025-10-11
Howard,Sacred Heart,14,32,2025-10-11
Virginia Lynchburg,Morgan State,6,44,2025-10-11
South Dakota,Indiana State,19,14,2025-10-11
Presbyterian,Butler,31,25,2025-10-11
St. Thomas-Minnesota,Davidson,57,13,2025-10-11
Morehead State,Stetson,14,21,2025-10-11
Richmond,Colgate,24,19,2025-10-11
Saint Francis,Duquesne,7,52,2025-10-11
Western Connecticut State,New Haven,0,69,2025-10-11
Norfolk State,Wofford,14,31,2025-10-11
Yale,Dartmouth,16,17,2025-10-11
Campbell,Hampton,38,21,2025-10-11
Villanova,Elon,29,21,2025-10-11
Abilene Christian,West Georgia,30,13,2025-10-11
Monmouth,Towson,42,31,2025-10-11
Valdosta State,The Citadel,14,38,2025-10-11
Dayton,Valparaiso,41,10,2025-10-11
Central Connecticut,Robert Morris,24,12,2025-10-11
Furman,Western Carolina,7,52,2025-10-11
Idaho State,Montana State,14,48,2025-10-11
Gardner-Webb,Eastern Illinois,21,10,2025-10-11
Western Illinois,UT Martin,31,32,2025-10-11
Mississippi Valley State,Alabama A&M,25,45,2025-10-11
Lincoln (CA),Alcorn State,0,42,2025-10-11
Southern,Bethune-Cookman,14,45,2025-10-11
North Carolina Central,Florida A&M,45,7,2025-10-11
Northern Iowa,South Dakota State,3,31,2025-10-11
Alabama State,Jackson State,34,38,2025-10-11
Southern Illinois,North Dakota State,17,45,2025-10-11
VMI,East Tennessee State,10,45,2025-10-11
Cal Poly,Montana,9,28,2025-10-11
Tennessee Tech,Charleston Southern,27,13,2025-10-11
Tennessee State,Southeast Missouri State,12,28,2025-10-11
Central Arkansas,North Alabama,49,21,2025-10-11
Youngstown State,North Dakota,17,35,2025-10-11
Northern Colorado,Idaho,49,33,2025-10-11
Drake,San Diego,19,16,2025-10-11
Austin Peay,Eastern Kentucky,20,34,2025-10-11
Northern Arizona,UC Davis,24,45,2025-10-11
Texas Southern,Grambling,21,20,2025-10-11
Illinois State,Murray State,46,32,2025-10-11
Lamar,East Texas A&M,33,23,2025-10-11
Northwestern State,Houston Christian,17,20,2025-10-11
Sacramento State,Weber State,55,27,2025-10-11
Tarleton State,Utah Tech,41,23,2025-10-11
Princeton,Brown,40,21,2025-10-18
Furman,Wofford,13,31,2025-10-18
Butler,Dayton,23,17,2025-10-18
Merrimack,Harvard,7,31,2025-10-18
Robert Morris,Long Island University,7,17,2025-10-18
Stonehill,Yale,7,47,2025-10-18
Hampton,Villanova,14,56,2025-10-18
Eastern Illinois,Southeast Missouri State,13,42,2025-10-18
Stony Brook,Monmouth,21,49,2025-10-18
Youngstown State,Illinois State,40,35,2025-10-18
North Dakota State,Indiana State,38,7,2025-10-18
North Dakota,Southern Illinois,38,19,2025-10-18
Davidson,Drake,0,45,2025-10-18
Stetson,Presbyterian,7,42,2025-10-18
